"","Two_yr_Recidivism","Number_of_Priors","Age_Above_FourtyFive","Age_Below_TwentyFive","Misdemeanor","Ethnicity","Sex"
"1741","0",2,"0","0","1","African_American","Male"
"1742","1",0,"0","1","0","Hispanic","Male"
"1743","0",2,"1","0","1","Caucasian","Male"
"1744","0",1,"1","0","0","African_American","Male"
"1745","1",8,"0","0","0","Hispanic","Male"
"1746","1",5,"0","0","0","Hispanic","Male"
"1747","1",1,"0","1","1","African_American","Male"
"1748","0",0,"0","0","1","Caucasian","Female"
"1749","0",2,"1","0","1","Caucasian","Male"
"1750","1",11,"0","0","0","African_American","Male"
"1751","0",0,"0","0","0","Hispanic","Male"
"1752","1",7,"0","0","0","African_American","Male"
"1753","1",0,"0","0","0","Hispanic","Male"
"1754","0",7,"0","0","0","Caucasian","Female"
"1755","0",0,"0","0","0","Caucasian","Male"
"1756","0",3,"0","0","0","Other","Male"
"1757","1",4,"0","0","0","Other","Male"
"1758","0",4,"1","0","0","Caucasian","Male"
"1759","0",0,"0","1","0","Caucasian","Male"
"1760","0",1,"0","0","0","African_American","Male"
"1761","0",0,"0","0","0","Caucasian","Male"
"1762","1",1,"0","1","0","African_American","Male"
"1763","0",0,"0","0","0","Hispanic","Male"
"1764","1",7,"0","0","1","Caucasian","Male"
"1765","0",0,"0","0","1","Caucasian","Male"
"1766","1",13,"0","0","0","African_American","Male"
"1767","1",2,"0","0","0","Caucasian","Male"
"1768","1",0,"0","1","0","Caucasian","Male"
"1769","1",4,"0","0","0","African_American","Male"
"1770","0",0,"1","0","1","Caucasian","Male"
"1771","1",0,"0","0","1","African_American","Female"
"1772","1",0,"0","1","0","Other","Male"
"1773","1",1,"1","0","1","Caucasian","Male"
"1774","0",4,"0","0","0","African_American","Male"
"1775","1",5,"0","1","0","Caucasian","Male"
"1776","1",0,"0","1","0","Caucasian","Male"
"1777","0",2,"0","0","0","African_American","Male"
"1778","1",1,"0","0","0","African_American","Male"
"1779","0",2,"1","0","0","Other","Male"
"1780","0",0,"0","1","0","African_American","Male"
"1781","0",4,"0","0","0","African_American","Male"
"1782","0",0,"0","0","1","Caucasian","Male"
"1783","0",0,"0","0","1","Other","Female"
"1784","0",0,"0","1","0","Other","Male"
"1785","1",1,"0","0","0","African_American","Male"
"1786","0",0,"0","1","0","Caucasian","Female"
"1787","0",2,"1","0","1","Caucasian","Male"
"1788","0",9,"0","0","0","African_American","Male"
"1789","0",0,"1","0","1","Other","Male"
"1790","0",0,"0","0","1","African_American","Female"
"1791","0",3,"0","1","0","African_American","Male"
"1792","1",0,"0","0","0","African_American","Male"
"1793","1",3,"0","0","1","Hispanic","Female"
"1794","0",0,"1","0","1","Caucasian","Male"
"1795","0",0,"0","0","0","Caucasian","Male"
"1796","0",0,"0","0","1","Other","Male"
"1797","1",9,"1","0","0","Caucasian","Male"
"1798","1",0,"0","1","0","African_American","Male"
"1799","0",4,"0","0","0","African_American","Male"
"1800","1",1,"0","0","0","Caucasian","Male"
"1801","0",2,"0","0","0","Caucasian","Male"
"1802","0",4,"1","0","0","African_American","Female"
"1803","0",0,"1","0","0","African_American","Female"
"1804","1",12,"0","0","0","African_American","Male"
"1805","0",0,"0","0","1","Caucasian","Male"
"1806","0",5,"0","0","0","African_American","Female"
"1807","0",2,"0","1","0","African_American","Male"
"1808","0",0,"0","0","1","Caucasian","Male"
"1809","0",1,"0","0","0","Caucasian","Male"
"1810","1",11,"1","0","0","Caucasian","Male"
"1811","0",2,"1","0","0","Caucasian","Male"
"1812","0",4,"1","0","1","African_American","Male"
"1813","1",15,"1","0","0","Native_American","Female"
"1814","1",21,"1","0","0","African_American","Male"
"1815","0",1,"1","0","0","Caucasian","Female"
"1816","0",0,"1","0","0","Caucasian","Female"
"1817","0",0,"0","0","1","African_American","Male"
"1818","1",5,"0","0","1","Caucasian","Male"
"1819","1",1,"0","1","0","African_American","Male"
"1820","1",26,"0","0","0","African_American","Male"
"1821","1",1,"0","1","0","African_American","Male"
"1822","0",0,"0","1","0","African_American","Male"
"1823","1",4,"0","0","0","African_American","Male"
"1824","1",3,"0","0","0","African_American","Female"
"1825","1",3,"0","0","0","Caucasian","Male"
"1826","0",0,"1","0","1","Caucasian","Male"
"1827","1",11,"0","0","0","Caucasian","Male"
"1828","1",5,"1","0","0","African_American","Male"
"1829","1",4,"0","0","1","Other","Male"
"1830","1",18,"0","0","0","African_American","Male"
"1831","0",15,"0","0","0","African_American","Male"
"1832","0",0,"0","0","0","African_American","Male"
"1833","1",8,"0","0","1","African_American","Male"
"1834","0",3,"0","0","0","Hispanic","Male"
"1835","0",0,"0","0","0","Caucasian","Female"
"1836","1",0,"0","1","1","Other","Female"
"1837","0",0,"0","0","1","Hispanic","Male"
"1838","0",6,"0","0","1","Caucasian","Male"
"1839","1",3,"0","0","0","African_American","Male"
"1840","0",0,"0","0","1","African_American","Female"
"1841","1",2,"0","0","0","Caucasian","Female"
"1842","0",3,"0","0","0","African_American","Male"
"1843","0",1,"0","0","1","Caucasian","Male"
"1844","1",5,"0","0","0","Caucasian","Male"
"1845","0",1,"0","0","1","Hispanic","Male"
"1846","0",1,"1","0","1","Caucasian","Male"
"1847","0",2,"0","0","0","Caucasian","Male"
"1848","0",0,"1","0","1","Caucasian","Male"
"1849","1",4,"0","0","1","Caucasian","Female"
"1850","0",9,"1","0","0","Caucasian","Male"
"1851","0",0,"0","0","0","Caucasian","Female"
"1852","0",0,"0","1","0","Caucasian","Male"
"1853","1",0,"0","1","0","African_American","Male"
"1854","1",4,"0","0","1","African_American","Male"
"1855","0",0,"1","0","1","Caucasian","Male"
"1856","0",4,"0","0","0","African_American","Male"
"1857","1",0,"0","0","1","Caucasian","Male"
"1858","1",3,"0","0","0","African_American","Male"
"1859","0",1,"1","0","0","African_American","Male"
"1860","1",3,"0","0","0","Caucasian","Male"
"1861","1",0,"0","0","1","Hispanic","Female"
"1862","1",14,"0","0","0","African_American","Male"
"1863","0",0,"0","1","1","African_American","Male"
"1864","0",0,"1","0","0","Caucasian","Male"
"1865","1",37,"0","0","1","African_American","Male"
"1866","0",2,"0","1","0","African_American","Male"
"1867","1",0,"0","0","1","African_American","Male"
"1868","1",2,"0","0","0","African_American","Male"
"1869","0",2,"0","0","0","Caucasian","Female"
"1870","1",7,"0","0","0","African_American","Female"
"1871","1",0,"0","0","1","African_American","Male"
"1872","0",1,"0","0","0","African_American","Male"
"1873","1",3,"0","0","0","African_American","Female"
"1874","1",1,"0","0","0","African_American","Male"
"1875","0",0,"0","0","0","African_American","Male"
"1876","0",1,"0","0","0","African_American","Male"
"1877","1",15,"0","0","0","African_American","Male"
"1878","1",6,"1","0","0","African_American","Male"
"1879","1",17,"0","1","0","African_American","Male"
"1880","1",0,"0","0","0","Hispanic","Male"
"1881","1",1,"0","1","0","African_American","Male"
"1882","1",1,"0","0","0","Hispanic","Female"
"1883","0",0,"0","1","0","African_American","Male"
"1884","1",9,"1","0","0","Hispanic","Male"
"1885","0",0,"0","0","0","Other","Female"
"1886","0",1,"1","0","0","African_American","Female"
"1887","1",1,"0","0","1","African_American","Male"
"1888","1",10,"1","0","0","African_American","Male"
"1889","0",1,"0","1","0","Caucasian","Male"
"1890","1",6,"0","0","0","Caucasian","Male"
"1891","1",1,"1","0","1","African_American","Male"
"1892","0",0,"1","0","1","Caucasian","Male"
"1893","1",9,"0","0","1","African_American","Female"
"1894","0",0,"1","0","1","Caucasian","Male"
"1895","1",10,"0","0","0","African_American","Male"
"1896","1",3,"0","1","0","Caucasian","Male"
"1897","1",0,"0","0","0","Other","Male"
"1898","0",0,"1","0","1","African_American","Male"
"1899","1",3,"0","1","0","African_American","Male"
"1900","0",13,"0","0","0","African_American","Male"
"1901","1",3,"1","0","1","African_American","Male"
"1902","1",5,"0","0","0","African_American","Male"
"1903","0",2,"1","0","0","African_American","Male"
"1904","1",0,"0","1","1","Caucasian","Male"
"1905","0",1,"1","0","1","Caucasian","Male"
"1906","1",0,"0","1","0","Caucasian","Female"
"1907","0",0,"0","1","1","African_American","Male"
"1908","0",1,"1","0","0","African_American","Male"
"1909","0",0,"0","0","0","Caucasian","Female"
"1910","0",0,"0","0","1","Caucasian","Male"
"1911","1",0,"0","0","0","Caucasian","Male"
"1912","1",2,"0","0","0","African_American","Male"
"1913","0",3,"0","0","0","Caucasian","Male"
"1914","1",3,"0","0","1","African_American","Male"
"1915","1",7,"0","0","0","African_American","Male"
"1916","0",1,"0","0","0","African_American","Male"
"1917","1",0,"0","0","0","Caucasian","Male"
"1918","0",2,"0","0","0","Caucasian","Female"
"1919","1",6,"0","1","0","Hispanic","Male"
"1920","1",21,"0","0","0","African_American","Male"
"1921","0",0,"0","0","1","Caucasian","Female"
"1922","1",0,"0","1","0","African_American","Male"
"1923","0",0,"0","0","1","African_American","Female"
"1924","1",25,"0","0","0","African_American","Male"
"1925","0",0,"0","1","0","Caucasian","Female"
"1926","1",0,"0","0","1","Caucasian","Male"
"1927","0",0,"0","0","0","Caucasian","Male"
"1928","1",0,"1","0","0","Caucasian","Male"
"1929","1",0,"0","0","0","Caucasian","Male"
"1930","0",1,"0","0","1","Caucasian","Male"
"1931","1",12,"0","0","0","African_American","Female"
"1932","0",3,"0","0","0","African_American","Male"
"1933","1",15,"1","0","0","African_American","Male"
"1934","1",9,"0","0","0","African_American","Male"
"1935","0",1,"0","0","0","African_American","Female"
"1936","0",1,"0","1","1","African_American","Male"
"1937","0",1,"1","0","0","African_American","Male"
"1938","0",1,"0","0","1","Caucasian","Male"
"1939","1",3,"0","1","0","African_American","Male"
"1940","1",1,"0","0","1","Caucasian","Male"
"1941","0",1,"0","0","0","Caucasian","Male"
"1942","1",1,"0","1","0","Caucasian","Male"
"1943","0",2,"1","0","0","Other","Male"
"1944","1",1,"0","1","0","African_American","Male"
"1945","0",5,"0","0","0","Caucasian","Male"
"1946","1",6,"0","0","1","African_American","Male"
"1947","0",1,"1","0","1","African_American","Male"
"1948","1",2,"0","0","1","African_American","Female"
"1949","0",0,"0","0","1","Caucasian","Male"
"1950","1",22,"1","0","0","African_American","Male"
"1951","1",4,"0","0","0","African_American","Male"
"1952","0",2,"0","0","0","Caucasian","Male"
"1953","0",1,"0","1","0","African_American","Female"
"1954","0",0,"0","0","1","Hispanic","Male"
"1955","0",3,"0","1","0","African_American","Male"
"1956","0",2,"0","0","0","African_American","Male"
"1957","1",7,"0","0","0","African_American","Male"
"1958","1",14,"0","0","0","African_American","Female"
"1959","0",2,"0","0","1","Caucasian","Male"
"1960","1",6,"0","1","0","African_American","Male"
"1961","1",1,"0","0","0","Hispanic","Male"
"1962","0",2,"0","0","1","African_American","Male"
"1963","0",0,"1","0","0","Hispanic","Male"
"1964","0",0,"0","1","0","African_American","Female"
"1965","0",0,"0","1","0","Caucasian","Male"
"1966","1",5,"0","0","0","African_American","Male"
"1967","0",4,"0","0","1","Caucasian","Male"
"1968","1",1,"0","0","0","Other","Male"
"1969","1",1,"1","0","0","Hispanic","Male"
"1970","1",1,"0","1","0","African_American","Male"
"1971","0",1,"1","0","0","Caucasian","Male"
"1972","0",0,"0","1","0","African_American","Female"
"1973","0",0,"0","0","0","Hispanic","Male"
"1974","0",2,"0","0","0","Caucasian","Female"
"1975","1",8,"0","0","0","Caucasian","Male"
"1976","0",2,"0","0","0","Caucasian","Male"
"1977","1",0,"0","0","0","Caucasian","Male"
"1978","0",1,"0","1","0","African_American","Male"
"1979","0",3,"0","0","0","African_American","Male"
"1980","0",0,"0","1","0","Caucasian","Male"
"1981","1",0,"0","1","0","Caucasian","Male"
"1982","1",4,"0","0","0","Caucasian","Female"
"1983","1",1,"0","1","0","African_American","Male"
"1984","0",0,"0","1","0","Hispanic","Male"
"1985","0",3,"1","0","0","African_American","Male"
"1986","1",7,"0","0","0","African_American","Male"
"1987","1",1,"0","1","0","African_American","Male"
"1988","0",0,"0","0","1","Caucasian","Male"
"1989","0",3,"1","0","0","Caucasian","Male"
"1990","0",0,"0","0","0","Hispanic","Male"
"1991","0",0,"1","0","0","African_American","Male"
"1992","1",17,"1","0","0","African_American","Male"
"1993","1",8,"0","0","0","African_American","Male"
"1994","0",1,"0","1","0","Caucasian","Male"
"1995","1",0,"0","0","1","Caucasian","Male"
"1996","1",1,"0","0","1","Caucasian","Male"
"1997","0",1,"0","0","0","African_American","Male"
"1998","1",2,"0","1","0","African_American","Male"
"1999","0",4,"1","0","0","Caucasian","Male"
"2000","0",4,"0","0","0","African_American","Male"
"2001","1",0,"0","0","1","Hispanic","Female"
"2002","0",0,"0","0","1","Caucasian","Male"
"2003","1",1,"1","0","1","Caucasian","Male"
"2004","0",2,"0","0","0","Hispanic","Male"
"2005","0",1,"1","0","0","Caucasian","Male"
"2006","1",1,"1","0","1","African_American","Male"
"2007","0",0,"1","0","0","Caucasian","Male"
"2008","1",3,"0","1","1","Caucasian","Male"
"2009","0",1,"0","0","0","African_American","Male"
"2010","0",1,"0","0","0","Hispanic","Male"
"2011","1",10,"0","0","1","African_American","Female"
"2012","1",10,"0","0","1","African_American","Male"
"2013","1",6,"0","0","0","African_American","Male"
"2014","0",0,"0","0","0","African_American","Male"
"2015","0",10,"1","0","0","Caucasian","Male"
"2016","1",1,"0","0","0","African_American","Male"
"2017","1",10,"1","0","0","African_American","Male"
"2018","0",4,"0","0","1","African_American","Male"
"2019","1",10,"0","0","0","Caucasian","Male"
"2020","0",0,"1","0","1","Caucasian","Female"
"2021","0",3,"0","0","1","African_American","Male"
"2022","1",1,"0","1","0","African_American","Male"
"2023","0",0,"1","0","0","Caucasian","Male"
"2024","0",16,"0","0","1","Caucasian","Male"
"2025","1",4,"0","1","0","African_American","Male"
"2026","1",0,"0","1","0","African_American","Male"
"2027","0",0,"1","0","0","Caucasian","Male"
"2028","0",0,"0","0","1","Caucasian","Female"
"2029","0",0,"0","0","0","Caucasian","Male"
"2030","0",7,"1","0","0","African_American","Female"
"2031","0",0,"0","0","1","African_American","Male"
"2032","0",0,"0","0","1","Caucasian","Male"
"2033","1",3,"0","0","0","African_American","Male"
"2034","1",1,"0","1","0","African_American","Male"
"2035","0",0,"0","0","1","Caucasian","Male"
"2036","1",11,"0","0","0","Caucasian","Male"
"2037","0",0,"0","1","0","African_American","Male"
"2038","1",10,"1","0","0","African_American","Male"
"2039","1",4,"0","0","0","African_American","Male"
"2040","1",1,"0","0","0","African_American","Male"
"2041","0",0,"0","0","0","African_American","Male"
"2042","0",1,"1","0","0","African_American","Male"
"2043","0",0,"0","1","1","African_American","Male"
"2044","0",0,"0","0","1","African_American","Female"
"2045","0",0,"1","0","1","Other","Male"
"2046","0",2,"1","0","0","Other","Male"
"2047","1",16,"1","0","0","African_American","Male"
"2048","0",4,"0","0","0","African_American","Male"
"2049","0",8,"0","0","0","African_American","Male"
"2050","0",0,"0","0","1","African_American","Female"
"2051","0",1,"0","0","1","African_American","Male"
"2052","0",0,"0","0","1","Caucasian","Male"
"2053","0",0,"0","0","0","Other","Male"
"2054","0",0,"0","0","0","African_American","Female"
"2055","1",9,"0","0","0","African_American","Male"
"2056","0",1,"1","0","0","African_American","Male"
"2057","0",1,"0","0","0","Caucasian","Male"
"2058","1",0,"1","0","1","Caucasian","Female"
"2059","0",8,"1","0","0","African_American","Female"
"2060","1",5,"0","0","0","African_American","Male"
"2061","1",13,"1","0","0","African_American","Male"
"2062","1",0,"0","1","1","Other","Male"
"2063","1",8,"0","0","0","African_American","Male"
"2064","0",0,"0","1","1","African_American","Male"
"2065","0",1,"0","1","0","African_American","Male"
"2066","0",0,"1","0","1","Caucasian","Male"
"2067","0",0,"1","0","0","Caucasian","Male"
"2068","0",1,"0","0","0","Caucasian","Male"
"2069","1",1,"0","1","0","African_American","Male"
"2070","1",5,"1","0","0","Caucasian","Male"
"2071","0",0,"1","0","1","Caucasian","Male"
"2072","0",0,"0","0","0","Hispanic","Female"
"2073","0",1,"0","0","0","African_American","Female"
"2074","0",0,"0","0","0","African_American","Female"
"2075","1",1,"0","1","0","African_American","Male"
"2076","1",0,"0","0","0","Caucasian","Male"
"2077","1",1,"0","0","0","African_American","Male"
"2078","0",1,"1","0","1","Caucasian","Male"
"2079","0",2,"0","1","0","African_American","Male"
"2080","1",33,"1","0","0","Caucasian","Male"
"2081","0",1,"1","0","0","Caucasian","Female"
"2082","1",1,"0","1","1","African_American","Male"
"2083","1",4,"0","1","0","African_American","Male"
"2084","0",0,"0","0","0","Hispanic","Female"
"2085","0",0,"1","0","1","Other","Male"
"2086","0",0,"0","0","0","African_American","Male"
"2087","1",0,"0","1","0","Hispanic","Male"
"2088","0",1,"0","0","1","African_American","Male"
"2089","0",4,"0","0","0","Caucasian","Male"
"2090","0",0,"0","0","0","Caucasian","Female"
"2091","0",14,"0","0","0","Caucasian","Male"
"2092","0",1,"1","0","1","Caucasian","Male"
"2093","0",15,"0","0","0","African_American","Male"
"2094","0",1,"0","1","0","African_American","Male"
"2095","0",1,"1","0","1","African_American","Male"
"2096","1",2,"0","0","0","Caucasian","Male"
"2097","0",1,"0","0","1","Caucasian","Male"
"2098","1",1,"0","0","0","African_American","Male"
"2099","1",18,"0","0","1","African_American","Male"
"2100","1",1,"0","1","0","African_American","Male"
"2101","1",1,"0","0","0","Caucasian","Male"
"2102","0",3,"1","0","1","African_American","Male"
"2103","0",14,"0","0","0","African_American","Female"
"2104","1",7,"0","0","0","African_American","Male"
"2105","1",20,"0","0","0","African_American","Male"
"2106","1",0,"0","0","0","Caucasian","Male"
"2107","1",0,"0","1","1","Caucasian","Male"
"2108","0",1,"0","0","1","African_American","Female"
"2109","0",0,"1","0","1","Caucasian","Male"
"2110","1",5,"0","0","0","African_American","Male"
"2111","1",3,"0","1","0","Caucasian","Male"
"2112","0",0,"0","1","1","Hispanic","Male"
"2113","0",0,"1","0","1","Caucasian","Male"
"2114","0",0,"0","0","1","Caucasian","Female"
"2115","1",1,"0","0","1","Caucasian","Male"
"2116","0",1,"0","0","1","African_American","Male"
"2117","0",2,"0","1","1","Caucasian","Male"
"2118","1",16,"0","0","0","African_American","Male"
"2119","0",0,"0","0","0","Caucasian","Male"
"2120","0",1,"0","1","1","Caucasian","Male"
"2121","1",1,"0","0","0","African_American","Male"
"2122","0",0,"0","0","0","Caucasian","Male"
"2123","0",0,"0","0","0","Caucasian","Male"
"2124","0",1,"0","0","0","Caucasian","Male"
"2125","1",1,"0","0","0","Caucasian","Male"
"2126","1",0,"1","0","0","African_American","Male"
"2127","0",7,"0","0","0","African_American","Male"
"2128","0",0,"0","0","1","African_American","Male"
"2129","1",8,"0","0","0","African_American","Male"
"2130","0",0,"1","0","1","Caucasian","Male"
"2131","1",0,"1","0","1","African_American","Male"
"2132","0",1,"0","0","1","African_American","Male"
"2133","1",0,"0","0","0","Caucasian","Male"
"2134","1",1,"0","0","1","Caucasian","Female"
"2135","1",9,"0","0","1","Caucasian","Male"
"2136","1",2,"1","0","0","African_American","Male"
"2137","1",1,"0","0","0","African_American","Male"
"2138","0",2,"0","0","0","African_American","Male"
"2139","1",5,"0","1","1","Other","Male"
"2140","1",4,"0","1","1","African_American","Female"
"2141","0",1,"0","1","1","African_American","Male"
"2142","0",3,"0","0","1","Other","Male"
"2143","0",2,"1","0","0","African_American","Female"
"2144","1",2,"0","0","1","African_American","Male"
"2145","0",0,"0","0","1","African_American","Female"
"2146","1",0,"0","1","0","Caucasian","Male"
"2147","0",0,"1","0","1","Caucasian","Female"
"2148","0",0,"1","0","0","Caucasian","Male"
"2149","0",1,"1","0","1","African_American","Male"
"2150","1",3,"1","0","1","African_American","Male"
"2151","0",5,"0","0","0","African_American","Male"
"2152","0",1,"1","0","0","Caucasian","Male"
"2153","0",2,"0","0","0","Hispanic","Male"
"2154","1",2,"1","0","1","Hispanic","Female"
"2155","1",2,"0","1","0","African_American","Male"
"2156","1",5,"0","0","0","African_American","Male"
"2157","0",4,"0","0","1","African_American","Male"
"2158","1",1,"0","1","0","African_American","Male"
"2159","0",7,"0","0","0","African_American","Female"
"2160","0",0,"0","0","0","African_American","Female"
"2161","1",3,"0","0","0","African_American","Female"
"2162","1",2,"0","0","0","Other","Male"
"2163","0",0,"1","0","1","Caucasian","Male"
"2164","0",0,"0","0","1","Caucasian","Male"
"2165","0",0,"0","0","1","Caucasian","Male"
"2166","0",0,"1","0","1","Caucasian","Male"
"2167","0",0,"0","1","1","African_American","Male"
"2168","0",22,"1","0","1","African_American","Male"
"2169","0",0,"0","0","1","African_American","Male"
"2170","1",9,"0","0","0","African_American","Male"
"2171","0",1,"0","1","0","Caucasian","Male"
"2172","0",0,"0","0","1","Caucasian","Male"
"2173","1",0,"1","0","0","African_American","Male"
"2174","1",10,"0","0","0","African_American","Male"
"2175","0",0,"0","1","0","Caucasian","Male"
"2176","1",0,"1","0","0","Caucasian","Female"
"2177","1",2,"1","0","1","Caucasian","Male"
"2178","0",11,"0","0","0","Other","Male"
"2179","1",0,"0","1","0","African_American","Female"
"2180","1",6,"0","1","1","Hispanic","Male"
"2181","1",0,"0","0","0","Caucasian","Male"
"2182","1",11,"0","0","0","African_American","Male"
"2183","0",5,"0","0","1","Caucasian","Male"
"2184","0",0,"1","0","1","African_American","Female"
"2185","1",13,"0","0","0","African_American","Male"
"2186","0",0,"1","0","0","Hispanic","Male"
"2187","1",13,"0","0","0","Caucasian","Male"
"2188","1",5,"0","0","1","African_American","Male"
"2189","0",8,"1","0","0","Hispanic","Male"
"2190","0",0,"0","1","0","African_American","Male"
"2191","1",8,"0","0","0","African_American","Male"
"2192","1",3,"1","0","0","Asian","Male"
"2193","0",0,"0","0","1","Other","Male"
"2194","0",13,"0","0","0","African_American","Female"
"2195","1",0,"0","1","0","African_American","Male"
"2196","1",0,"0","1","0","African_American","Male"
"2197","0",2,"1","0","1","Caucasian","Male"
"2198","1",5,"0","0","0","African_American","Female"
"2199","0",7,"1","0","0","African_American","Male"
"2200","0",0,"0","1","0","African_American","Female"
"2201","1",6,"0","0","1","African_American","Male"
"2202","0",3,"0","0","0","Caucasian","Male"
"2203","1",3,"0","0","0","African_American","Male"
"2204","0",0,"0","0","1","Caucasian","Male"
"2205","1",1,"0","0","0","African_American","Male"
"2206","1",1,"0","0","1","Hispanic","Male"
"2207","1",1,"0","0","0","African_American","Male"
"2208","0",1,"0","0","0","Other","Male"
"2209","0",1,"0","1","0","African_American","Male"
"2210","1",3,"0","0","0","Caucasian","Male"
"2211","0",0,"0","0","1","Caucasian","Male"
"2212","0",0,"0","0","0","Caucasian","Male"
"2213","0",0,"0","0","0","African_American","Male"
"2214","0",0,"0","0","0","Hispanic","Male"
"2215","0",1,"1","0","0","Caucasian","Male"
"2216","0",0,"1","0","1","Caucasian","Male"
"2217","1",14,"1","0","0","African_American","Male"
"2218","1",1,"0","1","0","African_American","Male"
"2219","0",6,"0","0","1","Caucasian","Male"
"2220","1",2,"1","0","0","Caucasian","Female"
"2221","0",7,"0","0","0","African_American","Male"
"2222","0",1,"0","0","1","Caucasian","Male"
"2223","1",7,"1","0","0","African_American","Male"
"2224","0",0,"1","0","1","Caucasian","Male"
"2225","0",0,"0","0","1","Caucasian","Male"
"2226","1",0,"0","0","1","African_American","Male"
"2227","1",4,"0","0","1","African_American","Male"
"2228","0",0,"0","0","0","African_American","Male"
"2229","1",17,"0","0","0","Hispanic","Male"
"2230","1",2,"0","0","0","Caucasian","Male"
"2231","1",0,"0","0","1","African_American","Female"
"2232","1",2,"1","0","0","Hispanic","Male"
"2233","0",0,"0","0","1","Hispanic","Male"
"2234","1",8,"0","0","0","Hispanic","Male"
"2235","0",0,"0","0","1","Hispanic","Male"
"2236","1",1,"0","1","0","African_American","Male"
"2237","1",0,"0","0","0","African_American","Male"
"2238","1",2,"1","0","0","African_American","Male"
"2239","0",1,"0","0","0","African_American","Male"
"2240","1",12,"0","0","1","African_American","Male"
"2241","1",0,"0","0","0","African_American","Male"
"2242","0",0,"0","0","1","African_American","Male"
"2243","0",0,"0","0","1","Caucasian","Male"
"2244","0",1,"0","0","0","African_American","Female"
"2245","0",4,"0","0","1","Caucasian","Male"
"2246","0",1,"1","0","0","Caucasian","Male"
"2247","0",0,"0","1","0","African_American","Male"
"2248","0",0,"0","0","0","Caucasian","Male"
"2249","0",1,"0","1","0","African_American","Male"
"2250","1",7,"0","0","1","Caucasian","Male"
"2251","1",11,"0","0","0","African_American","Male"
"2252","0",0,"1","0","1","African_American","Male"
"2253","1",2,"0","0","0","Other","Male"
"2254","0",1,"0","0","0","African_American","Male"
"2255","0",0,"0","0","1","Caucasian","Female"
"2256","1",7,"0","0","0","Hispanic","Female"
"2257","0",0,"0","0","1","African_American","Female"
"2258","1",0,"0","0","1","Hispanic","Male"
"2259","0",0,"1","0","1","African_American","Male"
"2260","0",2,"0","0","1","Caucasian","Male"
"2261","0",0,"0","0","0","African_American","Male"
"2262","0",3,"0","0","0","African_American","Male"
"2263","1",3,"0","1","1","Caucasian","Male"
"2264","1",19,"1","0","0","Caucasian","Male"
"2265","0",1,"0","0","1","Hispanic","Male"
"2266","0",1,"0","0","0","African_American","Male"
"2267","1",1,"1","0","0","Caucasian","Female"
"2268","1",3,"0","0","0","Caucasian","Male"
"2269","1",4,"0","1","0","Caucasian","Male"
"2270","0",6,"0","0","0","African_American","Male"
"2271","0",0,"0","1","0","African_American","Male"
"2272","1",2,"0","0","0","African_American","Male"
"2273","0",3,"0","0","1","African_American","Male"
"2274","0",0,"1","0","1","Caucasian","Female"
"2275","0",0,"0","0","0","Caucasian","Male"
"2276","1",4,"0","0","0","Caucasian","Male"
"2277","0",2,"0","0","0","Caucasian","Female"
"2278","1",3,"0","1","0","Caucasian","Male"
"2279","1",3,"0","0","1","Caucasian","Male"
"2280","0",0,"1","0","1","Caucasian","Female"
"2281","1",3,"0","1","0","Caucasian","Male"
"2282","0",2,"0","0","1","African_American","Male"
"2283","0",0,"0","0","0","African_American","Male"
"2284","0",0,"0","0","1","Caucasian","Male"
"2285","0",13,"0","0","0","African_American","Male"
"2286","0",6,"0","0","0","African_American","Male"
"2287","1",0,"1","0","1","Hispanic","Male"
"2288","0",0,"0","1","0","African_American","Male"
"2289","0",1,"0","0","0","Caucasian","Male"
"2290","1",0,"0","1","0","Caucasian","Male"
"2291","0",10,"0","0","0","African_American","Male"
"2292","0",1,"1","0","0","Caucasian","Male"
"2293","1",13,"0","0","1","African_American","Male"
"2294","0",0,"0","0","0","African_American","Male"
"2295","0",1,"0","1","1","African_American","Male"
"2296","1",3,"0","1","1","Caucasian","Male"
"2297","1",8,"0","0","1","African_American","Male"
"2298","1",0,"1","0","0","African_American","Male"
"2299","1",7,"0","0","0","Caucasian","Male"
"2300","1",6,"0","0","0","Caucasian","Male"
"2301","1",25,"0","0","0","African_American","Male"
"2302","0",9,"1","0","1","African_American","Male"
"2303","0",1,"0","1","0","African_American","Male"
"2304","0",1,"1","0","1","Caucasian","Female"
"2305","1",7,"1","0","0","Caucasian","Male"
"2306","0",2,"0","0","1","Caucasian","Male"
"2307","0",0,"0","0","0","Hispanic","Male"
"2308","0",0,"0","0","0","Caucasian","Female"
"2309","0",3,"0","0","0","African_American","Female"
"2310","1",0,"0","0","0","African_American","Male"
"2311","1",0,"0","1","1","African_American","Female"
"2312","1",0,"0","1","1","African_American","Male"
"2313","0",0,"1","0","0","Caucasian","Male"
"2314","1",8,"1","0","1","African_American","Male"
"2315","1",5,"0","0","0","African_American","Male"
"2316","0",0,"0","0","0","African_American","Male"
"2317","1",3,"0","1","1","Caucasian","Male"
"2318","1",14,"0","0","1","African_American","Male"
"2319","0",5,"0","0","0","African_American","Male"
"2320","0",0,"1","0","0","African_American","Male"
"2321","0",0,"0","1","0","African_American","Male"
"2322","0",1,"1","0","1","African_American","Male"
"2323","1",0,"0","1","0","African_American","Male"
"2324","1",1,"0","0","0","Caucasian","Male"
